title,description,category
A Thief in the Night,A Book of Raffles' Adventures,Mystery
The Fake Heir (Nancy Drew,Girl Detective Graphic Novels #5),Mystery
Last Act,The Stage Is Set For Murder,Mystery
Study Guide,the Way I Used to Be by Amber Smith,Mystery
L'île noire,Les aventures de Tintin,Mystery
Sister Outsider,essays and speeches,Mystery
Gray Hat Hacking,The Ethical Hacker's Handbook,Mystery
Hood Feminism,Notes from the Women That a Movement Forgot,Mystery
Creating Black Americans,"African-American history and its meanings, 1619 to the present",Mystery
We need to talk about Kevin,A Novel (P.S.),Mystery
The Phantom Prince,My Life with Ted Bundy,Mystery
Stamped,"Racism, Antiracism, and You",Mystery
Feminist theory,from margin to center,Mystery
"Hide and seek, or, The mystery of Mary Grice",a novel,Mystery
Mystery,An Illustrated History of Crime and Detective Fiction,Mystery
The lock and key library,the most interesting stories of all nations,Mystery
The web that has no weaver,understanding Chinese medicine,Mystery
Girl In pieces,a Novel,Mystery
Two for the dough,a Stephanie Plum novel,Mystery
The Berenstain Bears,The Bear Detectives (The Berenstain Bears Beginner Books),Mystery
Keeper of the Lost Cities Collection Books 1-5,Keeper of the Lost Cities; Exile; Everblaze; Neverseen; Lodestar,Mystery
The mystery lovers' book of quotations,"a choice selection from murder mysteries, detective stories, suspense novels, spy thrillers, and crime fiction",Mystery
The secret of Shadow Ranch,Nancy Drew Series #1,Mystery
Final Truth,The Autobiography of a Serial Killer,Mystery
Trixie Belden and the mysterious visitor,#4,Mystery
"In a Dark, Dark Room",And Other Scary Stories,Mystery
Quarry,"a ""nameless detective"" mystery",Mystery
Crime and Mystery,The 100 Best Books,Mystery
Mystery in White,A Christmas Crime Story,Mystery
The 5th horseman,a novel,Mystery
Terminal Justice,Mystery and Suspense Crime Thriller,Mystery
The anatomy of motive,the FBI's legendary mindhunter explores the key to understanding and catching violent criminals,Mystery
The Navigator,A Novel from the Numa Files,Mystery
"Curious, if true",strange tales,Mystery
Four Blind Mice,a novel,Mystery
Abbot's Ghost,A Christmas Story,Mystery
Thea Stilton and the Cherry Blossom Adventure (Thea Stilton 6),A Geronimo Stilton Adventurevolume 6,Mystery
The Gatehouse Mystery,(Trixie Belden 3),Mystery
The riddle of the night,"being the record of a singular adventure of that remarkable detective genius, Hamilton Cleek, the man of the forty faces, once known to the police as the Vanishing Cracksman",Mystery
Black Feminist Thought,"Knowledge, Consciousness, and the Politics of Empowerment",Mystery
Obsession in Death,40,Mystery
Sleeping Giants,Themis Files Book 1,Mystery
Sisters of the Yam,Black Women and Self-Recovery,Mystery
Guy Mannering,"or, The astrologer.",Mystery
I Spy Mystery,A Book of Picture Riddles,Mystery
Paris Noir,Capital Crime Fiction (City Noir 2),Mystery
Sentinels,"a ""Nameless Detective"" Mystery",Mystery
The art of mystery & detective stories,the best illustrations from over a century of crime fiction,Mystery
The President is Missing,A novel,Mystery
Bindlestiff,"""Nameless Detective"" Mystery",Mystery
Nancy Drew 34,The Hidden Window Mystery (Nancy Drew),Mystery
Swimsuit,a novel,Mystery
Swan song,a detective story,Mystery
Crime novels,American noir of the 1950s,Mystery
Mystery and suspense writers,"the literature of crime, detection, and espionage",Mystery
Stamboul train,an entertainment,Mystery
Ten big ones,A Stephanie Plum Novel,Mystery
Cocaine Blues,a Phryne Fisher mystery.,Mystery
Father Brown,selected stories,Mystery
Epitaphs,A Nameless Detective Mystery,Mystery
Perfect Match,A Novel,Mystery
The Television Detectives' Omnibus,Great Tales of Crime and Detection,Mystery
The China Governess,A Mystery,Mystery
Blindside,An FBI Thriller,Mystery
"""F"" is for fugitive",a Kinsey Millhone mystery,Mystery
Turn Coat,A Novel of the Dresden Files,Mystery
Telling lies,"clues to deceit in the marketplace, politics, and marriage",Mystery
The blue book of crime,science of crime detection,Mystery
The Queen of Hearts,a novel,Mystery
The 10-minute detective,25 scene-of-the-crime mystery puzzles you can solve yourself,Mystery
Blowout,An FBI Thriller,Mystery
Playing in the dark,whiteness and the literary imagination,Mystery
The black angel,A Thriller (Charlie Parker Mysteries),Mystery
Demons,"a ""Nameless Detective"" mystery",Mystery
Bhedi tapu,The mysterious island.,Mystery
Red bones,a thriller,Mystery
Isis unveiled,a master-key to the mysteries of ancient and modern science and theology,Mystery
Baker's dozen,13 short mystery novels,Mystery
Edgar Huntley,"or, Memoirs of a Sleep-Walker",Mystery
Backlash,The Undeclared War Against American Women,Mystery
Breakdown,"a ""nameless detective"" mystery",Mystery
How to Draw Noir Comics,The Art and Technique of Visual Storytelling,Mystery
Crime Seen,A Psychic Eye Mystery,Mystery
Cracking Crime,Jim Donovan--Forensic Detective,Mystery
Captivating,Unveiling the Mystery of a Woman's Soul,Mystery
The Ethnic Detectives,Masterpieces of Mystery Fiction,Mystery
Raven Black,Book One of the Shetland Island Quartet,Mystery
Spook,"a ""nameless detective"" novel",Mystery
Hardcase,"a ""nameless detective"" mystery",Mystery
From hell,being a melodrama in sixteen parts,Mystery
A Century of Noir,Thirty-two Classic Crime Stories,Mystery
Les cigares du pharaon,Les aventures de Tintin,Mystery
"Look to the Lady; or, The Gyrth Chalice Mystery",Albert Campion #3,Mystery
Bad Love,Level 1 (Cambridge English Readers),Mystery
Capital Crimes,London Mysteries,Mystery
Police At the Funeral,Albert Campion #4,Mystery
Ore 8,a scuola di formaggio!,Mystery
Consent to Kill,a thriller,Mystery
Small sacrifices,a true story of passion and murder,Mystery
You've Been Warned,a novel,Mystery
Windswept House,a Vatican novel,Mystery
Champagne for One,a Nero Wolfe mystery,Mystery
Eleventh Hour,An FBI Thriller,Mystery
Death of a Ghost,Albert Campion #6,Mystery
Chocolate Chip Cookie Murder,A Hannah Swensen Mystery,Mystery
Crime lab 101,experimenting with crime detection,Mystery
The psychic detectives,the story of psychometry and paranormal crime detection.,Mystery
Dead and Gone,A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),Mystery
White nights,A Thriller (Shetland Island Quartet),Mystery
Short stories,the frontier stories,Mystery
Batman,Year One,Mystery
Sentinels,"a ""nameless detective"" mystery",Mystery
Nightshades,"a ""nameless detective"" mystery",Mystery
Protect and Defend,A Thriller,Mystery
Shackles,"A ""Nameless Detective"" Mystery",Mystery
Nobel Crimes,Stories of Mystery and Detection by Winners of the Nobel Prize for Literature,Mystery
"""G"" is for gumshoe",a Kinsey Millhone mystery,Mystery
Erinnerungen an die Zukunft,Ungelöste Rätsel der Vergangenheit,Mystery
Promise Me,A Myron Bolitar Novel,Mystery
Trixie Belden and the Mysterious Code,#7,Mystery
Crime de Cocoa:,Three Chocoholic Mysteries (Chocoholic Mystery),Mystery
L. A. Noir,The Lloyd Hopkins Trilogy,Mystery
White House Pet Detectives,Tales of Crime and Mystery at the White House from a Pet's Eye View,Mystery
DEATH BY STATION WAGON,a suburban detective mystery,Mystery
The Missing 'Gator of Gumbo Limbo,An Ecological Mystery,Mystery
The Incredible Crime,A Cambridge Mystery,Mystery
Nevermoor,The Trials of Morrigan Crow,Mystery
Gripping Thriller,The Mysterious Island : the Mysterious Jules Series,Mystery
"Great Short Stories of Detection, Mystery and Horror",third series,Mystery
CSI,crime scene investigation,Mystery
Mysteries of police and crime,a general survey of wrongdoing and its pursuit,Mystery
Computer crime,"prevention, detection, and investigation",Mystery
The Black Gryphon (Valdemar,Mage Wars #1),Mystery
Bleeders,"a ""nameless detective"" novel",Mystery
The Year's 25 Finest Crime & Mystery Stories,Seventh Annual Edition,Mystery
Remember me 3,The Last Story,Mystery
Fearless Fourteen,a Stephanie Plum novel,Mystery
System of the World,The Baroque Cycle #3,Mystery
Disease detective,solving deadly mysteries,Mystery
To the nines,a Stephanie Plum novel,Mystery
Trixie Belden and the red trailer mystery,#2,Mystery
Deadfall,A Nameless Detective Mystery,Mystery
The adventuress,a Craig Kennedy detective story,Mystery
Jackpot,"a ""nameless detective"" mystery",Mystery
Lost girls,an unsolved American mystery,Mystery
Don't blink,a novel,Mystery
Death row,a suburban detective mystery,Mystery
No place like home,A Novel,Mystery
The Green Gables Detectives,Tom and Liz Austen Mysteries,Mystery
Criminology,Explaining Crime and Its Context,Mystery
Crime is a five letter word,A Detective Puzzle,Mystery
Cord and creese,a novel,Mystery
The D'Arblay mystery,a Dr. Thorndyke novel.,Mystery
The father's club,a suburban detective mystery,Mystery
American mystery and detective novels,a reference guide,Mystery
A man called Spade and other stories,private detective mystery stories,Mystery
Stolen Innocence,"my story of growing up in a polygamous sect, becoming a teenage bride, and breaking free of Warren Jeffs",Mystery
A Mother's Reckoning,Living in the Aftermath of Tragedy,Mystery
Tesori Perduti,La Bussola Di Stelle,Mystery
Talking back,"thinking feminist, thinking black",Mystery
High Tide in the City,A Cyberpunk Detective Thriller,Mystery
Silent mystery and detective movies,a comprehensive filmography,Mystery
World's Finest Mystery and Crime Stories,Second Annual Collection,Mystery
No second chance,a novel,Mystery
Under the Dragon's tail,a Detective Murdoch Mystery,Mystery
Sideways in crime,an alternate mystery anthology,Mystery
Silence of the Grave,A Thriller (Reykjavik Thriller),Mystery
Strange Tide,A Peculiar Crimes Unit Mystery,Mystery
The Wyvern mystery,a novel,Mystery
Boobytrap,a nameless detective novel,Mystery
Bloodline,A Genealogical Mystery (Signet Mystery),Mystery
Masterpieces of Mystery,Detective Stories,Mystery
The Family Stalker,a suburban detective mystery,Mystery
Whodunits,Mysteries for Science Class Detectives,Mystery
World's Finest Mystery and Crime Stories,Third Annual Collection,Mystery
High-rise thriller,a zoo animal mystery,Mystery
Troubletwisters,The Mystery,Mystery
The Queen's confession,a fictional autobiography,Mystery
Trixie Belden and mystery in Arizona,#6,Mystery
Spy,A Thriller (Hawke),Mystery
"Frauds, myths, and mysteries",science and pseudoscience in archaeology,Mystery
Blowback,A Thriller,Mystery
"Parsley, sage, rosemary, and crime",A Pennsylvania Dutch Mystery with Recipes (PennDutch Inn Mystery),Mystery
Father Brown Crime Stories,twenty-four short mysteries,Mystery
The Ministry of Fear,An Entertainment,Mystery
From crime to crime,mind-boggling tales of mystery and murder,Mystery
Two Little Girls in Blue,A Novel,Mystery
Crime time,mystery and suspense stories,Mystery
Garnethill,a novel of crime,Mystery
A Litter of Bones,A DCI Logan Crime Thriller,Mystery
Morality for beautiful girls,more from the No. 1 Ladies' Detective Agency,Mystery
Last Housewife,a suburban detective mystery,Mystery
The First Commandment,A Thriller,Mystery
The World's Finest Mystery and Crime Stories,Fifth Annual Collection,Mystery
Ye true-born Englishmen proceed,"Our trifling crimes detect, ...",Mystery
"Gone, Baby, Gone",A Novel,Mystery
State of the Union,a thriller,Mystery
"Locke & Key, Vol. 1",Welcome to Lovecraft,Mystery
World's Finest Mystery and Crime Stories,Fourth Annual Collection,Mystery
Vices of My Blood,A Detective Murdoch Mystery,Mystery
Trixie Belden and the Happy Valley mystery,#9,Mystery
The Europa World Noir Reader,A Tribute to International Crime Fiction,Mystery
The Tokyo Major War Crimes Trial,The Transcripts of the Court Proceedings of the International Military Tribunal for the Far East,Mystery
Discipline and Punish,The Birth of the Prison,Mystery
The best of crime & detective TV,"Perry Mason to Hill Street blues, the Rockford files to Murder she wrote",Mystery
Baghdad Heist,A Charlie Glass Murder Mystery Thriller,Mystery
Nancy Drew 02,The Hidden Staircase (Nancy Drew),Mystery
The chess mysteries of Sherlock Holmes,fifty tantalizing problems of chess detection,Mystery
The evolution of physics,the growth of ideas from early concepts to relativity and quanta,Mystery
Fudge Cupcake Murder,A Hannah Swensen Mystery,Mystery
Locked doors,A Thriller,Mystery
Mystery and manners,occasional prose,Mystery
Agatha Christie,the woman and her mysteries,Mystery
Apocrypha of Crime,Unofficial Adventures of the Great Detectives,Mystery
Striding Folly,including three final Lord Peter Wimsey stories,Mystery
The Cheyne mystery,an Inspector French story,Mystery
Let Loose the Dogs,A Detective William Murdoch Mystery,Mystery
Mary Celeste,An Unsolved Mystery from History,Mystery
Michael Strogoff,The Courier of the Czar,Mystery
The New Mystery,The International Association of Crime Writer's Essential Crime...,Mystery
Faux Finished,An Interior Design Mystery (Berkley Prime Crime Mysteries),Mystery
Trixie Belden and the Black Jacket Mystery,#8,Mystery
Trixie Belden and the Mystery Off Glen Road,#5,Mystery
The Grand Babylon Hotel,a fantasia on modern themes,Mystery
The detective and the somnambulist,The murderer and the fortune teller.,Mystery
Yearning,"Race, Gender, and Cultural Politics",Mystery
Kraken,an anatomy,Mystery
The memory of blood,a Peculiar Crimes Unit mystery,Mystery
Suivez La Piste,A Detective Thriller in French in 25 Short Episodes,Mystery
Crimes of Cymru,Classic Mystery Tales of Wales,Mystery
To Kill a Husband,A Mystery Jigsaw Puzzle Thriller,Mystery
The burning man,a mystery-thriller in two acts.,Mystery
The Victoria vanishes,a peculiar crimes unit mystery,Mystery
Homicide,a year on the killing streets,Mystery
Critical Survey of Mystery and Detective Fiction,Authors,Mystery
The strange cases of Magistrate Pao,Chinese tales of crime and detection,Mystery
Dark Lessons,Crime and Detection on Campus (Macmillan Midnight Library),Mystery
Except the dying,a Detective Murdoch mystery,Mystery
Top Secret Twenty-One,A Stephanie Plum Novel,Mystery
Motor Mouth,A Barnaby Novel (Barnaby Skye Novels),Mystery
The neighbor,A Detective D. D. Warren Novel,Mystery
Appleby Talking,Twenty-Three Detective Stories,Mystery
The CS Detective,"An Algorithmic Tale of Crime, Conspiracy, and Computation",Mystery
Blueberry Muffin Murder,A Hannah Swensen Mystery - 3,Mystery
Capital Crimes,A Will Lee Novel (Will Lee),Mystery
Triple threat,"exploits of three famous detectives: Hercule Poirot, Harley Quin and Tuppence",Mystery
Line-up,a collection of crime stories by famous mystery writers,Mystery
Key Lime Pie Murder,a Hannah Swensen mystery with recipes,Mystery
Deep state,a thriller,Mystery
Murder Underground,British Library Crime Classics,Mystery
Miami Noir,The Classics,Mystery
Rivals of Sherlock Holmes,forty stories of crime and detection from original illustrated magazines,Mystery
A Bullet in an Architect's Head,A Thriller (Art & Crime Series),Mystery
Who can solve the crime?,science projects using detective skills,Mystery
Bad Men,A Thriller,Mystery
The City of Mirrors,A Novel,Mystery
Le temple du soleil,Les aventures de Tintin,Mystery
Truth or Dare,a Whispering Springs novel,Mystery
Trixie Belden and the Mystery at Maypenny's,#31,Mystery
Man and Wife,a novel,Mystery
Murder for pleasure,the life and times of the detective story.,Mystery
Pale as the Dead,A Genealogical Mystery (Signet Mystery),Mystery
The music of the primes,Searching to Solve the Greatest Mystery in Mathematics,Mystery
Year's 25 Finest Crime and Mystery Stories,Sixth Annual Edition,Mystery
Mystery and Detection,Thinking and Problem Solving with the Sleuths,Mystery
Vulgar Favors,"Andrew Cunanan, Gianni Versace, and the Largest Failed Manhunt in U.S. History",Mystery
The five fugitives,"a new ""Father Brown"" detective thriller : the story of the flying terror",Mystery
Supernatural Sleuths,14 Mysterious Stories of Uncanny Crime,Mystery
"""E"" is for evidence",a Kinsey Millhone mystery,Mystery
Bare Essentials,A Detective Inspector C.D. Sloan Mystery,Mystery
Maddened by Mystery,A Casebook of Canadian Detective Fiction,Mystery
The dead detective,a Sam and Vera Sloan mystery,Mystery
The Sea Mystery,an Inspector French Case,Mystery
Takedown,A Thriller,Mystery
Homo Faber,Ein Bericht,Mystery
Where are you now?,A Novel,Mystery
A Century of Detection,"Twenty Great Mystery Stories, 1841-1940",Mystery
Trixie Belden and the Mystery of the Missing Heiress,#16,Mystery
Trixie Belden and the Mystery of the Blinking Eye,#12,Mystery
Extreme measures,a thriller,Mystery
Blood ties,A Bishop/Special Crimes Unit Novel,Mystery
Chill of Fear,A Bishop/Special Crimes Unit Novel (Fear),Mystery
The last patriot,a thriller,Mystery
Cherry Cheesecake Murder,a Hannah Swensen mystery with recipes,Mystery
Murder on Main Street,small-town crime from Ellery Queen's mystery magazine & Alfred Hitchcock's mystery magazine,Mystery
Let me call you sweetheart,a novel,Mystery
The Final Deduction,a Nero Wolfe novel,Mystery
The Mystery of the Galloping Ghost,Trixie Belden #39,Mystery
1001 Midnights,The Aficionado's Guide to Mystery and Detective Fiction,Mystery
The Unquiet,A Thriller,Mystery
Appleby Talks Again,eighteen detective stories,Mystery
Masters of the macabre,"an anthology of mystery, horror, and detection",Mystery
Blood game,an Eve Duncan forensics thriller,Mystery
The strategy of Satan,how to detect and defeat him,Mystery
Poor Tom is cold,a Detective Murdoch mystery,Mystery
The Appleby file,detective stories,Mystery
The Changeover,a supernatural romance,Mystery
The Incorrigible Children of Ashton Place,The Mysterious Howling,Mystery
The Mammoth Book of Golden Age Detective Stories,"Victorian and Edwardian Novels, Novellas, and Tales of Crime",Mystery
Hunted Down,The Detective Stories of Charles Dickens,Mystery
The Informationist,A Thriller,Mystery
Path of the Assassin,A Thriller,Mystery
Every crime in the book,an anthology of mystery stories,Mystery
Get a Clue!,Bible Mysteries for Kid Detectives to Solve,Mystery
The mystery of the Tarn,a Fleming Stone detective novel.,Mystery
The Crime of My Life,Favorite Stories by Presidents of the Mystery Writers of America,Mystery
Noir Noir et Noir =,Bernar Venet,Mystery
Body language,7 easy lessons to master the silent language,Mystery
Tsar,a thriller,Mystery
Before the fact,a murder story for ladies,Mystery
Esoteric Christianity,"or, The lesser mysteries.",Mystery
Heresy,a thriller,Mystery
True crime,a novel,Mystery
How to Know God,the soul's journey into the mystery of mysteries,Mystery
Keeper of the keys,a Charlie Chan story,Mystery
Le crime de Sylvestre Bonnard,membre de l'Institut,Mystery
La perle noire,comédie en trois actes en prose,Mystery
Decked,A Regan Reilly Mystery,Mystery
More Ms. Murder,"More of the Best Mysteries Featuring Women Detectives, by the Top Women Writers",Mystery
Black Rock,a tale of the Selkirks,Mystery
Birth marks,a Hannah Wolfe crime novel,Mystery
Idées noires,L'intégrale,Mystery
Mystery of Crocodile Island,the Secret of Red Gate Farm.,Mystery
Nancy Drew 03,The Bungalow Mystery GB (Nancy Drew),Mystery
Vamos a ver!,a mystery thriller in Spanish in 20 short episodes,Mystery
Crime through time,new and original tales of historical mystery,Mystery
Fleeced,A Regan Reilly Mystery,Mystery
Madoc,A Mystery,Mystery
Beef up your brain,"the big book of 301 brain-building exercises, puzzles, and games",Mystery
The long divorce,a detective story,Mystery
Model Crime (Nancy Drew Files 51),Model Crime,Mystery
The Nancy Drew files,3 stories in 1,Mystery
Past Crimes,A Van Shaw Novel,Mystery
Red aces,being three cases of Mr. Reeder,Mystery
The Mansion of Mystery,"Being a Certain Case of Importance, Taken from the Note-book of Adam Adams, Investigator and Detective",Mystery
The Book of Yōkai,Mysterious Creatures of Japanese Folklore,Mystery
Diabolus,Thriller,Mystery
Cane di terracotta,An Inspector Montalbano Mystery,Mystery
The queen's man,a medieval mystery,Mystery
True Detectives,A Novel,Mystery
Trixie Belden and the Mystery at Bob-White Cave,#11,Mystery
"Johannes Cabal, the detective",a novel,Mystery
"Nancy Drew and the Hardy boys, super sleuths!",seven new mysteries,Mystery
Wildtrack,A Novel of Suspense,Mystery
Protein shakes for the brain,90 games and exercises to work your mind's muscle to the max,Mystery
Crimes against humanity,the struggle for global justice,Mystery
Three Victorian Detective Novels,The Unknown Weapon/My Lady's Monkey/The Big Bow Mystery,Mystery
The Missing,A Thriller,Mystery
Peach Cobbler Murder,a Hannah Swensen mystery with recipes,Mystery
Ocean Detectives,Solving the Mysteries of the Sea (Turnstone Ocean Explorer),Mystery
Trixie Belden and the Mystery on the Mississippi,#15,Mystery
The Filigree Ball,Being a full and true account of the solution of the mystery concerning the Jeffrey-Moore affair,Mystery
Assassin's Creed,Unity,Mystery
Dead by Sunset,"perfect husband, perfect killer?",Mystery
The murder of King Tut,the plot to kill the child king : a nonfiction thriller,Mystery
There are crimes and crimes,a comedy,Mystery
Trixie Belden and the Mystery on Cobbett's Island,#13,Mystery
Out of the woodpile,black characters in crime and detective fiction,Mystery
"Kiss me, kill me",Ann Rule's Crime Files Vol. 9 (Ann Rule's Crime Files),Mystery
Catnap,a Midnight Louie mystery,Mystery
Point Blank,An FBI Thriller,Mystery
The Avalanche,a mystery story,Mystery
On a marché sur la Lune,Les aventures de Tintin,Mystery
Blackout,Morgen ist es zu spät,Mystery
Quelque chose noir,poèmes,Mystery
The old Willis place,a ghost story,Mystery
The crime trade,A Novel,Mystery
Il conformista,romanzo.,Mystery
1988,le grand rendez-vous,Mystery
Réussir une campagne électorale,suivre l'exemple américain?,Mystery
Deadly Perfume,An International Thriller,Mystery
Trixie Belden and the secret of the mansion,#1,Mystery
How to be a Cat Detective,Solving the Mystery of Your Cat's Behavior,Mystery
Underworld,The Mysterious Origins of Civilization,Mystery
Thriller,Stories To Keep You Up All Night,Mystery
Abgrund,thriller,Mystery
Dexter in the dark,a novel,Mystery
The Dream Detective,Being Some Account of the Methods of Moris Klaw,Mystery
Gallows view,an Inspector Banks mystery,Mystery
Blowout,an FBI thriller,Mystery
Raisins and Almonds,A Phryne Fisher Mystery,Mystery
Takedown,a thriller,Mystery
Lost Light,Slipcased,Mystery
Histoire d'un crime,déposition d'un témoin,Mystery
Tourist Season,A Novel,Mystery
The Julius House,an Aurora Teagarden mystery,Mystery
The little steamroller,"a story of adventure, mystery and detection",Mystery
Murphy's law,a Molly Murphy mystery,Mystery
Writing Stories,Mystery stories,Mystery
Snagged,a Regan Reilly mystery,Mystery
Every Breath You Take,a novel,Mystery
Boston Noir 2,The Classics,Mystery
SS-GB,"Nazi-occupied Britain, 1941",Mystery
Please pass the guilt,a Nero Wolfe novel.,Mystery
Every Breath You Take,"A True Story of Obsession, Revenge, and Murder",Mystery
True Believer,A Thriller,Mystery
The Sherlock Holmes Handbook,The Methods and Mysteries of the World's Greatest Detective,Mystery
Library of the World&apos;s Best Mystery and Detective Stories,One Hundred and One Tales of Mystery by Famous Authors,Mystery
Science fair winners,"crime scene science : 20 projects and experiments about clues, crimes, criminals, and other mysterious things",Mystery
Opening Shots,Great Mystery and Crime Writers Share Their First Published Stories,Mystery
Le trésor de Rackham le Rouge,Les aventures de Tintin,Mystery
Mississippi outlaws and the detectives,Don Pedro and the detectives. Poisoner and the detectives.,Mystery
Man Down,A Broken Wings Thriller,Mystery
Ancients,An Event Group Thriller (Event Group Thrillers),Mystery
Encyclopedia Brown Shows the Way,ten all-new mysteries,Mystery
The Queen's awards.,the winners of the sixth annual detective short-story contest sponsored by Ellery Queen's mystery magazine,Mystery
O. Henry's cops and robbers,O. Henry's best detective and crime stories.,Mystery
Le cabinet noir,lettres avec commentaires.,Mystery
City of Bones,a novel,Mystery
Batman,war on crime,Mystery
Miraculous,Tales of Ladybug & Cat Noir,Mystery
The dark stairs,a Herculeah Jones mystery,Mystery
True Crime,G-Men & Gansters - From Slum Gangs to the Mafia,Mystery
Gambit,a Nero Wolfe novel.,Mystery
The doorbell rang,a Nero Wolfe novel,Mystery
"Three bedrooms, one corpse",An Aurora Teagarden Mystery,Mystery
Flying too high,a Phryne Fisher mystery,Mystery
Lemon Meringue Pie Murder,A Hannah Swensen Mystery,Mystery
Ivanhoe,"Relates the adventures of the Saxon knight Ivanhoe in 1194, the year of Richard the Lion-Hearted's return from the Third Crusade.",Romance
Love story,"Dans l'Amérique des années soixante-dix, Oliver, jeune homme riche et sportif, étudiant en droit, rencontre Jennifer, musicienne et issue d'une modeste famille. Alors que tout semblait les séparer, c'est le coup de foudre. Ils s'aiment, se marient et parlent de faire un enfant qu'ils appelleraient Bozo. Mais après leur avoir donné tant de bonheur, le destin exige une bien tragique contrepartie... Adaptée à l'écran avec Ryan O'Neal et Ali MacGraw, cette histoire d'amour universelle, belle et pathétique, a fait rire et pleurer des générations de lecteurs et de spectateurs à travers le monde.",Romance
The Romance of Flamenca,"Variously described as a comedy of manners, a psychological romance, and a type of fabliau, the 13th-century narrative Flamenca is the best medieval romance written in Occitan. Its uniqueness springs from qualities that anticipate the preoccupations of modern-day narrative. Not content with being a love story fraught with risk and intrigue, the poem is layered with responses to the troubadour tradition of love and poetry, as well as the Bible and the classics. Though among the most bookish of romances, its tone is invariably ironic, comic, and satirical. This playfulness may be measured by the variety and vehemence of critical response to the poem. Is it a vindication of the troubadour ideal, a mockery of the Church, a satire on jealous husbands, or an undermining of the ideals that romance is said to inscribe? Or is it all of these elements held in suspense? The introduction confronts these questions. The most recent edition and translation of Flamenca , by Hubert and Porter, is now out of print; their translation was into octosyllabic couplets that match the original. Blodgett's translation is unrhymed and line-for-line, on pages facing the edition; it adhers as closely as possible to the literal meaning of the original. The edition follows the recent text prepared by Gschwind.",Romance
Ivanhoe,"Twelfth-century England is in turmoil. The Third Crusade failed; King Richard is imprisoned in Austria; Prince John—the king's evil brother—controls the throne; and country's ruling class, the French-descended Normans, are taking advantage of Saxon landowners and nobles. Before the knight Wilfred of Ivanhoe left for the crusades, Cedric, his Saxon father, shunned him for supporting King Richard. Now that Ivanhoe has returned, he attempts to save his love, Lady Rowena, and right the many wrongs—with the aid of a mysterious Black Knight as well as Robin Hood and his merry men. Filled with jousting, sword fighting, and damsels in distress, this historical romance by Scottish author Sir Walter Scott also examines topics such as prejudice and reconciliation. This is an unabridged edition of the classic novel, which was first published in England in 1820.",Romance
Romance Fiction,"A comprehensive guide that defines the literature and the outlines the best-selling genre of all time: romance fiction. More than 2,000 romances are published annually, making it difficult for fans and the librarians who advise them to keep pace with new titles, emerging authors, and constant evolution of this dynamic genre. Fortunately, romance expert and librarian Kristin Ramsdell provides a definitive guide to this fiction genre that serves as an indispensible resource for those interested in it—including fans searching for reading material—as well as for library staff, scholars, and romance writers themselves. This title updates the last edition of Romance Fiction: A Guide to the Genre, published in 1999.While the emphasis is on newer titles, many of the important older classics are retained, keeping the focus of the book on the entire genre, instead of only those titles published during the last decade. Specific changes include new chapters on linked and continuing romances, a new section on ""Chick Lit"" in the Contemporary Romance chapter, an expansion of coverage on the alternative reality subset. This is THE romance genre guide to have.",Romance
The Romance of the Rose,"`If any man or woman should ask what I wish this romance... to be called, it is the Romance of the Rose, in which the whole art of love is contained'. Guillaume de Lorris's own introduction to his allegorical account of the progress of a courtly love affair gives no indication of the eventual scale and scope of the work, which became the most popular and influential of all medieval romances. In the hands of Jean de Meun, who continued de Lorris's work, it assumed vast proportions and embraced almost every aspect of medieval life, from predestination to the right way to deal with premature hair-loss. This new translation into modern English, based on the French edition by Félix Lecoy, is intended as much for the general reader as for students of French and English literature.",Romance
Scaramouche: A Romance of the French Revolution,"""Scaramouche: A Romance of the French Revolution"" by Rafael Sabatini is a thrilling historical novel set against the backdrop of the turbulent French Revolution. The story follows André-Louis Moreau, a young lawyer whose life is turned upside down when his best friend is killed by the aristocratic Marquis de La Tour d'Azyr. Swearing vengeance, André-Louis joins a troupe of actors and assumes the role of Scaramouche, a cunning and eloquent character who becomes a voice of the people. As André-Louis navigates his dual life as a revolutionary and a performer, he becomes deeply involved in the political upheaval of the time. His journey takes him from the grand theaters of Paris to the dangerous streets filled with revolutionary fervor. Along the way, he encounters a cast of unforgettable characters, including the passionate Aline, the formidable Georges Danton, and the ruthless Robespierre. Sabatini's ""Scaramouche"" is renowned for its masterful blend of romance, adventure, and historical detail. The novel captures the spirit of an era marked by dramatic change and the fight for justice. With its swashbuckling hero and intricate plot, ""Scaramouche"" offers readers an exhilarating ride through one of history's most pivotal periods. This timeless tale of love, revenge, and political intrigue remains a beloved classic in historical fiction.",Romance
Lilith: A Romance,"MacDonald was one of the first authors to establish fantasy as a literary genre. C.S. Lewis claimed that MacDonald was a mythopoetic genius and W.H. Auden hailed Lilith, published toward the end of MacDonald's career in 1895, as ""equal if not superior to the best of Poe."" The novel is the story of Mr. Vane, who inherits a large old house with a mysterious library. Through accident or fate, he discovers a mirror that has the ability to transport him to an alternate universe. MacDonald then sends the reader on a layered quest that can be interpreted as an allegory of both individual and social redemption.",Romance
